"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Sales","Adjustments","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2021A000011124","Retail trade [44-45]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859481","1.1.1.1","41377009","","","","0"
"2017-01","Canada","2021A000011124","Retail trade [44-45]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859483","1.1.1.2","50417235","","","","0"
"2017-01","Canada","2021A000011124","Retail trade [44-45]","Retail e-commerce sales","Unadjusted","Dollars","81","thousands","3","v1446859482","1.1.2.1","1110045","","","","0"
"2017-01","Canada","2021A000011124","Retail trade [44-45]","Retail e-commerce sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859484","1.1.2.2","1236885","","","","0"
"2017-01","Canada","2021A000011124","Motor vehicle and parts dealers [441]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859485","1.2.1.1","10162441","","","","0"
"2017-01","Canada","2021A000011124","Motor vehicle and parts dealers [441]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859486","1.2.1.2","13561527","","","","0"
"2017-01","Canada","2021A000011124","Automobile dealers [4411]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859487","1.3.1.1","9134064","","","","0"
"2017-01","Canada","2021A000011124","Automobile dealers [4411]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859488","1.3.1.2","11980440","","","","0"
"2017-01","Canada","2021A000011124","New car dealers [44111]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859489","1.4.1.1","8304437","","","","0"
"2017-01","Canada","2021A000011124","New car dealers [44111]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859490","1.4.1.2","11020613","","","","0"
"2017-01","Canada","2021A000011124","Used car dealers [44112]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859491","1.5.1.1","829627","","","","0"
"2017-01","Canada","2021A000011124","Used car dealers [44112]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859492","1.5.1.2","959827","","","","0"
"2017-01","Canada","2021A000011124","Other motor vehicle dealers [4412]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859493","1.6.1.1","489300","","","","0"
"2017-01","Canada","2021A000011124","Other motor vehicle dealers [4412]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859494","1.6.1.2","855975","","","","0"
"2017-01","Canada","2021A000011124","Automotive parts, accessories and tire retailers [4413]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859495","1.7.1.1","539077","","","","0"
"2017-01","Canada","2021A000011124","Automotive parts, accessories and tire retailers [4413]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859496","1.7.1.2","725113","","","","0"
"2017-01","Canada","2021A000011124","Building material and garden equipment and supplies dealers [444]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859497","1.8.1.1","2018216","","","","0"
"2017-01","Canada","2021A000011124","Building material and garden equipment and supplies dealers [444]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859498","1.8.1.2","2932069","","","","0"
"2017-01","Canada","2021A000011124","Food and beverage retailers [445]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859499","1.9.1.1","8909534","","","","0"
"2017-01","Canada","2021A000011124","Food and beverage retailers [445]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859500","1.9.1.2","10070575","","","","0"
"2017-01","Canada","2021A000011124","Grocery and convenience retailers [4451]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859501","1.10.1.1","7123414","","","","0"
"2017-01","Canada","2021A000011124","Grocery and convenience retailers [4451]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859502","1.10.1.2","7611559","","","","0"
"2017-01","Canada","2021A000011124","Supermarkets and other grocery retailers (except convenience retailers) [44511]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859503","1.11.1.1","6546387","","","","0"
"2017-01","Canada","2021A000011124","Supermarkets and other grocery retailers (except convenience retailers) [44511]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859504","1.11.1.2","6949074","","","","0"
"2017-01","Canada","2021A000011124","Convenience retailers and vending machine operators [44513]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859505","1.12.1.1","577027","","","","0"
"2017-01","Canada","2021A000011124","Convenience retailers and vending machine operators [44513]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859506","1.12.1.2","662485","","","","0"
"2017-01","Canada","2021A000011124","Specialty food retailers [4452]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859507","1.13.1.1","456221","","","","0"
"2017-01","Canada","2021A000011124","Specialty food retailers [4452]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859508","1.13.1.2","583012","","","","0"
"2017-01","Canada","2021A000011124","Beer, wine and liquor retailers [4453]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859509","1.14.1.1","1329899","","","","0"
"2017-01","Canada","2021A000011124","Beer, wine and liquor retailers [4453]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859510","1.14.1.2","1876004","","","","0"
"2017-01","Canada","2021A000011124","Furniture, home furnishings, electronics and appliances retailers [449]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859511","1.15.1.1","2550440","","","","0"
"2017-01","Canada","2021A000011124","Furniture, home furnishings, electronics and appliances retailers [449]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859512","1.15.1.2","2973208","","","","0"
"2017-01","Canada","2021A000011124","Furniture, floor covering, window treatment and other home furnishings retailers [4491]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859513","1.16.1.1","1338205","","","","0"
"2017-01","Canada","2021A000011124","Furniture, floor covering, window treatment and other home furnishings retailers [4491]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859514","1.16.1.2","1561011","","","","0"
"2017-01","Canada","2021A000011124","Furniture retailers [44911]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859515","1.17.1.1","867332","","","","0"
"2017-01","Canada","2021A000011124","Furniture retailers [44911]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859516","1.17.1.2","990249","","","","0"
"2017-01","Canada","2021A000011124","Floor covering, window treatment and other home furnishing retailers [44912]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859517","1.18.1.1","470873","","","","0"
"2017-01","Canada","2021A000011124","Floor covering, window treatment and other home furnishing retailers [44912]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859518","1.18.1.2","570761","","","","0"
"2017-01","Canada","2021A000011124","Electronics and appliances retailers [4492]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859519","1.19.1.1","1212235","","","","0"
"2017-01","Canada","2021A000011124","Electronics and appliances retailers [4492]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859520","1.19.1.2","1412197","","","","0"
"2017-01","Canada","2021A000011124","General merchandise retailers [455]","Total retail sales","Unadjusted","Dollars","81","thousands","3","v1446859521","1.20.1.1","4694882","","","","0"
"2017-01","Canada","2021A000011124","General merchandise retailers [455]","Total retail sales","Seasonally adjusted","Dollars","81","thousands","3","v1446859522","1.20.1.2","5796131","","","","0"
